month,fund_code,fund_name,line_item,type,amount,source_file,source_page,confidence,notes
2025-05,10,General Fund,Intermediary Sources,revenue,0,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-06,10,General Fund,Intermediary Sources,revenue,0,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-07,10,General Fund,State Foundation Aid,revenue,904587,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-08,10,General Fund,State Foundation Aid,revenue,489032,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-09,10,General Fund,State Foundation Aid,revenue,10088234,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-10,10,General Fund,State Foundation Aid,revenue,10088234,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-11,10,General Fund,State Foundation Aid,revenue,10088234,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2024-12,10,General Fund,State Foundation Aid,revenue,10088234,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-01,10,General Fund,State Foundation Aid,revenue,10088234,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-02,10,General Fund,State Foundation Aid,revenue,10469301,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-03,10,General Fund,State Foundation Aid,revenue,10034251,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
2025-04,10,General Fund,State Foundation Aid,revenue,10034251,data/raw/board_packets/2026-02-10_Board_of_Directors/attachments/K_02_01_FY26 Quarter 2 Financial Report (1).pdf,3,medium,FY2025 actual (prior-year table)
